School Name,City,State,District Name,2010/11/Award Amount,Model Selected
HOGARTH KINGEEKUK MEMORIAL SCHOOL,SAVOONGA,AK,BERING STRAIT SCHOOL DISTRICT,471014.00,Transformation
AKIACHAK SCHOOL,AKIACHAK,AK,YUPIIT SCHOOL DISTRICT,520579.00,Transformation
GAMBELL SCHOOL,GAMBELL,AK,BERING STRAIT SCHOOL DISTRICT,449592.00,Transformation
BURCHELL HIGH SCHOOL,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,641184.00,Transformation
AKIAK SCHOOL,AKIAK,AK,YUPIIT SCHOOL DISTRICT,399686.00,Transformation
MIDVALLEY HIGH,WASILLA,AK,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,697703.00,Restart
TULUKSAK SCHOOL,TULUKSAK,AK,YUPIIT SCHOOL DISTRICT,427658.00,Transformation
CAPITOL HEIGHTS JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,110544.00,Transformation
LOWNDES CO MIDDLE SCH,FORT DEPOSIT,AL,LOWNDES COUNTY,12973.00,Transformation
CENTRAL MIDDLE SCH,ROCKFORD,AL,COOSA COUNTY,199828.00,Transformation
BELLINGRATH JR HIGH SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,165903.00,Transformation
HAYNEVILLE MIDDLE SCH,HAYNEVILLE,AL,LOWNDES COUNTY,121657.00,Transformation
SOUTHLAWN MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,914557.00,Transformation
CONTINUOUS LEARNING CTR,MOBILE,AL,MOBILE COUNTY,198953.00,Transformation
JACKSON-STEELE ELEM SCH,HAYNEVILLE,AL,LOWNDES COUNTY,118394.00,Transformation
MCINTYRE MIDDLE SCH,MONTGOMERY,AL,MONTGOMERY COUNTY,143238.00,Transformation
JOHN ESSEX HIGH SCH,DEMOPOLIS,AL,MARENGO COUNTY,151116.00,Transformation
CALHOUN HIGH SCH,LETOHATCHEE,AL,LOWNDES COUNTY,163619.00,Transformation
OSCEOLA MIDDLE SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,665000.00,Transformation
HALL HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,198728.00,Transformation
ROSE CITY MIDDLE SCHOOL,NORTH LITTLE ROCK,AR,N. LITTLE ROCK SCHOOL DISTRICT,991451.00,Transformation
TRUSTY ELEMENTARY SCHOOL,FORT SMITH,AR,FORT SMITH SCHOOL DISTRICT,990135.00,Transformation
J.A. FAIR HIGH SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,197012.00,Transformation
OSCEOLA HIGH SCHOOL,OSCEOLA,AR,OSCEOLA SCHOOL DISTRICT,695000.00,Transformation
CLOVERDALE MIDDLE SCHOOL,LITTLE ROCK,AR,LITTLE ROCK SCHOOL DISTRICT,198783.00,Transformation
GADSDEN ELEMENTARY SCHOOL,GADSDEN,AZ,GADSDEN ELEMENTARY DISTRICT,847003.00,Transformation
EAST VALLEY HIGH SCHOOL,MESA,AZ,LEGACY EDUCATION GROUP,381512.00,Turnaround
CRITTENTON YOUTH ACADEMY,PHOENIX,AZ,FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.,915959.00,Turnaround
ALCHESAY HIGH SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,812195.00,Transformation
SAN CARLOS HIGH SCHOOL,SAN CARLOS,AZ,SAN CARLOS UNIFIED DISTRICT,928654.00,Transformation
PIMA PARTNERSHIP SCHOOL  THE,TUCSON,AZ,PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE,818238.00,Turnaround
LA PUERTA HIGH SCHOOL,PHOENIX,AZ,OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.,634503.00,Turnaround
PROJECT MORE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,836556.00,Transformation
PEACH SPRINGS SCHOOL,PEACH SPRINGS,AZ,PEACH SPRINGS UNIFIED DISTRICT,880050.00,Transformation
WHITE CONE HIGH SCHOOL,WHITE CONE,AZ,CEDAR UNIFIED DISTRICT,728696.00,Transformation
JAMES SANDOVAL PREPARATORY HIGH SCHOOL,PHOENIX,AZ,JAMES SANDOVAL PREPARATORY HIGH SCHOOL,696668.00,Transformation
SEVEN MILE SCHOOL,WHITERIVER,AZ,WHITERIVER UNIFIED DISTRICT,826589.00,Transformation
Rice Elementary School,San Carlos,AZ,San Carlos Unified District,204246.00,Transformation
HOWENSTINE HIGH SCHOOL,TUCSON,AZ,TUCSON UNIFIED DISTRICT,760314.00,Transformation
